사용월,호선명,지하철역,승차총승객수,하차총승객수,lat,lng
202102,1호선,광운대,137234,132342,37.6230335564713,127.06176348127
202102,1호선,구로,331266,337793,37.5024345090279,126.881491595821
202102,1호선,구일,107069,111199,37.4963911827294,126.869920428658
202102,1호선,군포,136390,136474,37.354076121748,126.948484962089
202102,1호선,금정,455301,464821,37.3722878708479,126.943387264162
202102,1호선,금천구청,205816,205714,37.455609978438,126.894514076077
202102,1호선,남영,162987,170862,37.5405646005342,126.971332437837
202102,1호선,노량진,145001,149567,37.5135735646312,126.940826454376
202102,1호선,녹양,78476,74667,37.7593972381027,127.042273911226
202102,1호선,녹천,81874,69735,37.6456959058103,127.050919992127
202102,1호선,당정,106049,101378,37.3444543328447,126.948347418727
202102,1호선,대방,226950,233552,37.5128688879851,126.925248506022
202102,1호선,덕계,46805,42420,37.8187729615258,127.056653419502
202102,1호선,덕정,91812,89555,37.844283985167,127.061969695022
202102,1호선,도봉,104824,101339,37.6803629061562,127.045764016316
202102,1호선,도봉산,130502,79554,37.6891205614059,127.046528790935
202102,1호선,도원,45721,47164,37.468791983109,126.642404388038
202102,1호선,도화,71745,66254,37.4661106428252,126.668375888234
202102,1호선,독산,300195,317804,37.4659873169402,126.889514168718
202102,1호선,동대문,193403,182159,37.5717775660734,127.011167102297
202102,1호선,동두천,32228,37384,37.9278370541411,127.054940223638
202102,1호선,동두천중앙,52037,51091,37.9018057802045,127.056238895955
202102,1호선,동묘앞,137115,143704,37.5733722075697,127.01675118037
202102,1호선,동암,266767,270403,37.4710056673671,126.702935214739
202102,1호선,동인천,236370,224887,37.4759574845683,126.631750522383
202102,1호선,두정,80619,81120,36.8329346310528,127.149020699344
202102,1호선,망월사,120758,124932,37.725963479768,127.046509519875
202102,1호선,명학,157700,156509,37.3852171904558,126.935265701361
202102,1호선,방학,164183,161568,37.6663490420969,127.044424667701
202102,1호선,배방,16403,15583,36.7775631745193,127.052904723378
202102,1호선,백운,122866,122455,37.4832252226726,126.70727338322
202102,1호선,병점,230107,228459,37.2068017946815,127.033243427141
202102,1호선,보산,25404,23695,37.9143185033452,127.057237110508
202102,1호선,봉명,20286,19538,36.8012573235829,127.135835679685
202102,1호선,부개,148028,140439,37.4883181353962,126.740251327956
202102,1호선,부천,580658,584565,37.4840369248427,126.782649695027
202102,1호선,부평,538543,573482,37.4904472744166,126.723486369222
202102,1호선,서동탄,26628,22915,37.1959264123992,127.052133990784
202102,1호선,서빙고,32476,30093,37.5199555398566,126.990048630943
202102,1호선,서울,805849,710050,37.549118478341,126.970484281315
202102,1호선,서울,805849,710050,37.549118478341,126.970484281315
202102,1호선,서정리,100862,93821,37.0570033704623,127.053006355073
202102,1호선,석계,140750,160485,37.6150480846952,127.066118430844
202102,1호선,석수,173906,154653,37.4343424740399,126.902529209911
202102,1호선,성균관대,243745,241721,37.3001863040678,126.972261050259
202102,1호선,성환,52539,52560,36.9167500567322,127.126732155397
202102,1호선,세류,50684,47540,37.2442506519983,127.014111849323
202102,1호선,세마,43875,40739,37.1869917898194,127.043062518202
202102,1호선,소사,161799,156013,37.4824529147477,126.796018552602
202102,1호선,소요산,43617,36459,37.947953996357,127.061213156402
202102,1호선,송내,478482,477356,37.4876747409104,126.752771844443
202102,1호선,송탄,69998,65845,37.0752833781957,127.054299835138
202102,1호선,수원,583619,617918,37.2656768667795,127.000096053009
202102,1호선,시청,365204,362363,37.5654385176408,126.976983237511
202102,1호선,신길,164966,137778,37.5176677017212,126.914336937521
202102,1호선,신도림,68334,68344,37.5087701449787,126.891080501385
202102,1호선,신설동,243868,239287,37.5762451837487,127.023278761358
202102,1호선,신이문,151126,140866,37.604278644666,127.069577322142
202102,1호선,신창,17347,17096,36.7694848050308,126.949921514343
202102,1호선,쌍용,30005,28145,36.793655090373,127.121594290099
202102,1호선,아산,44819,42677,36.7920474174232,127.104115243093
202102,1호선,안양,373162,377520,37.4014349994721,126.92300270344
202102,1호선,양주,129376,121834,37.7736548042753,127.044790945301
202102,1호선,역곡,470417,471843,37.4852888314378,126.811871466794
202102,1호선,영등포,653878,673479,37.5156680341198,126.907665995469
202102,1호선,오류동,207452,198142,37.494359185399,126.844600701673
202102,1호선,오산,163916,162332,37.1458951784684,127.066844907861
202102,1호선,오산대,52313,47237,37.1693006160923,127.063064763281
202102,1호선,옥수,865,584,37.5409877747326,127.018965435917
202102,1호선,온수,111115,110302,37.4921502838112,126.823380714316
202102,1호선,온양온천,59925,60854,36.7804682813951,127.003451110541
202102,1호선,왕십리,231397,259192,37.5612217415191,127.036655378283
202102,1호선,외대앞,122710,122900,37.5954136758127,127.063058800869
202102,1호선,용산,548335,562997,37.5297718014452,126.964741503485
202102,1호선,월계,106710,101712,37.6321089404669,127.058729394991
202102,1호선,응봉,31926,27117,37.5504482266748,127.034927944532
202102,1호선,의왕,151916,151191,37.3211117738404,126.948383028902
202102,1호선,의정부,317247,325793,37.7379901517646,127.045879450143
202102,1호선,이촌,66307,51748,37.522520254623,126.973683151228
202102,1호선,인천,57235,42964,37.4765938446837,126.617089760956
202102,1호선,제기동,312746,321006,37.5781967284885,127.034690599752
202102,1호선,제물포,175178,168018,37.466803102521,126.656869633392
202102,1호선,종각,603950,574974,37.5702140381269,126.983239678933
202102,1호선,종로3가,425665,389288,37.5704266025836,126.99202930223
202102,1호선,종로5가,389291,383511,37.5709075371016,127.001916647342
202102,1호선,주안,326671,297986,37.464767076602,126.679517004054
202102,1호선,중동,159491,152178,37.4866184306426,126.764292213307
202102,1호선,지제,47821,45171,37.0187847572567,127.070485287852
202102,1호선,지행,107947,107087,37.8918774567748,127.055664161171
202102,1호선,직산,12199,12038,36.8713897700414,127.143691456107
202102,1호선,진위,27198,23393,37.1099375555493,127.062366903315
202102,1호선,창동,6,0,37.6532174818989,127.047714954434
202102,1호선,천안,80454,85340,36.8123208138282,127.146822493854
202102,1호선,청량리,612348,633092,37.5802331563072,127.045085886324
202102,1호선,평택,195116,191968,36.9918974768998,127.083288658126
202102,1호선,한남,71720,67256,37.5291881521046,127.008249820572
202102,1호선,화서,125876,122590,37.2848936747156,126.989199634131
202102,1호선,회룡,215009,213007,37.7244219058017,127.047218627472
202103,1호선,가능,145304,140748,37.7483685951812,127.044220735748
202103,1호선,가산디지털단지,407275,474271,37.4815957375443,126.882559483336
202103,1호선,간석,135249,128754,37.4646879052409,126.693451172704
202103,1호선,개봉,482981,496594,37.4945222528654,126.859102583368
202103,1호선,관악,162065,150701,37.4188017578979,126.909121118476
202103,1호선,광명,68902,60095,37.4163635638303,126.884877197434
202103,1호선,광운대,201188,194663,37.6230335564713,127.06176348127
202103,1호선,구로,426046,436397,37.5024345090279,126.881491595821
202103,1호선,구일,143023,146560,37.4963911827294,126.869920428658
202103,1호선,군포,172358,171653,37.354076121748,126.948484962089
202103,1호선,금정,590985,601942,37.3722878708479,126.943387264162
202103,1호선,금천구청,268309,266998,37.455609978438,126.894514076077
202103,1호선,남영,216939,227603,37.5405646005342,126.971332437837
202103,1호선,노량진,188507,192305,37.5135735646312,126.940826454376
202103,1호선,녹양,102169,97497,37.7593972381027,127.042273911226
202103,1호선,녹천,105926,89408,37.6456959058103,127.050919992127
202103,1호선,당정,140309,134181,37.3444543328447,126.948347418727
202103,1호선,대방,297640,305629,37.5128688879851,126.925248506022
202103,1호선,덕계,66805,59247,37.8187729615258,127.056653419502
202103,1호선,덕정,129330,125366,37.844283985167,127.061969695022
202103,1호선,도봉,134542,129957,37.6803629061562,127.045764016316
202103,1호선,도봉산,177889,113316,37.6891205614059,127.046528790935
202103,1호선,도원,75294,76114,37.468791983109,126.642404388038
202103,1호선,도화,94540,87448,37.4661106428252,126.668375888234
202103,1호선,독산,374878,398585,37.4659873169402,126.889514168718
202103,1호선,동대문,246823,235067,37.5717775660734,127.011167102297
202103,1호선,동두천,49095,56402,37.9278370541411,127.054940223638
202103,1호선,동두천중앙,67690,65240,37.9018057802045,127.056238895955
202103,1호선,동묘앞,189725,199639,37.5733722075697,127.01675118037
202103,1호선,동암,342754,346490,37.4710056673671,126.702935214739
202103,1호선,동인천,310610,293639,37.4759574845683,126.631750522383
202103,1호선,두정,122981,123834,36.8329346310528,127.149020699344
202103,1호선,망월사,166048,169484,37.725963479768,127.046509519875
202103,1호선,명학,203518,202466,37.3852171904558,126.935265701361
202103,1호선,방학,211374,207459,37.6663490420969,127.044424667701
202103,1호선,배방,21810,20773,36.7775631745193,127.052904723378
202103,1호선,백운,161455,159291,37.4832252226726,126.70727338322
202103,1호선,병점,302561,304628,37.2068017946815,127.033243427141
202103,1호선,보산,30307,27771,37.9143185033452,127.057237110508
202103,1호선,봉명,27381,26299,36.8012573235829,127.135835679685
202103,1호선,부개,193039,182239,37.4883181353962,126.740251327956
202103,1호선,부천,742863,745990,37.4840369248427,126.782649695027
202103,1호선,부평,669983,713192,37.4904472744166,126.723486369222
202103,1호선,서동탄,34550,30121,37.1959264123992,127.052133990784
202103,1호선,서빙고,41450,38280,37.5199555398566,126.990048630943
202103,1호선,서울,1026361,894932,37.549118478341,126.970484281315
202103,1호선,서울,1026361,894932,37.549118478341,126.970484281315
202103,1호선,서정리,145748,138663,37.0570033704623,127.053006355073
202103,1호선,석계,180757,205644,37.6150480846952,127.066118430844
202103,1호선,석수,223987,198245,37.4343424740399,126.902529209911
202103,1호선,성균관대,335488,332648,37.3001863040678,126.972261050259
202103,1호선,성환,91453,89443,36.9167500567322,127.126732155397
202103,1호선,세류,66427,61854,37.2442506519983,127.014111849323
202103,1호선,세마,58580,54220,37.1869917898194,127.043062518202
202103,1호선,소사,214228,204130,37.4824529147477,126.796018552602
202103,1호선,소요산,61731,51617,37.947953996357,127.061213156402
202103,1호선,송내,628111,628478,37.4876747409104,126.752771844443
202103,1호선,송탄,91562,85494,37.0752833781957,127.054299835138
202103,1호선,수원,751758,793047,37.2656768667795,127.000096053009
202103,1호선,시청,472244,471307,37.5654385176408,126.976983237511
202103,1호선,신길,216592,183191,37.5176677017212,126.914336937521
202103,1호선,신도림,93116,91220,37.5087701449787,126.891080501385
202103,1호선,신설동,313161,308986,37.5762451837487,127.023278761358
202103,1호선,신이문,191128,177428,37.604278644666,127.069577322142
202103,1호선,신창,35506,33788,36.7694848050308,126.949921514343
202103,1호선,쌍용,44906,42607,36.793655090373,127.121594290099
202103,1호선,아산,61096,56470,36.7920474174232,127.104115243093
202103,1호선,안양,551269,550465,37.4014349994721,126.92300270344
202103,1호선,양주,171578,159824,37.7736548042753,127.044790945301
202103,1호선,역곡,640060,635071,37.4852888314378,126.811871466794
202103,1호선,영등포,819505,842916,37.5156680341198,126.907665995469
202103,1호선,오류동,272678,258094,37.494359185399,126.844600701673
202103,1호선,오산,214396,212874,37.1458951784684,127.066844907861
202103,1호선,오산대,78230,71165,37.1693006160923,127.063064763281
202103,1호선,옥수,1190,692,37.5409877747326,127.018965435917
202103,1호선,온수,156350,153320,37.4921502838112,126.823380714316
202103,1호선,온양온천,78227,79563,36.7804682813951,127.003451110541
202103,1호선,왕십리,299832,334113,37.5612217415191,127.036655378283
202103,1호선,외대앞,163373,163906,37.5954136758127,127.063058800869
202103,1호선,용산,681542,689352,37.5297718014452,126.964741503485
202103,1호선,월계,149063,140392,37.6321089404669,127.058729394991
202103,1호선,응봉,43626,39735,37.5504482266748,127.034927944532
202103,1호선,의왕,199986,198527,37.3211117738404,126.948383028902
202103,1호선,의정부,396830,406614,37.7379901517646,127.045879450143
202103,1호선,이촌,84893,65745,37.522520254623,126.973683151228
202103,1호선,인천,76246,58142,37.4765938446837,126.617089760956
202103,1호선,제기동,393454,400257,37.5781967284885,127.034690599752
202103,1호선,제물포,243321,233588,37.466803102521,126.656869633392
202103,1호선,종각,764235,736423,37.5702140381269,126.983239678933
202103,1호선,종로3가,561207,512876,37.5704266025836,126.99202930223
202103,1호선,종로5가,504800,501752,37.5709075371016,127.001916647342
202103,1호선,주안,430291,391048,37.464767076602,126.679517004054
202103,1호선,중동,207369,197614,37.4866184306426,126.764292213307
202103,1호선,지제,63803,60455,37.0187847572567,127.070485287852
202103,1호선,지행,136103,134578,37.8918774567748,127.055664161171
202103,1호선,직산,15886,16011,36.8713897700414,127.143691456107
202103,1호선,진위,35781,31233,37.1099375555493,127.062366903315
202103,1호선,창동,6,0,37.6532174818989,127.047714954434
202103,1호선,천안,107611,108864,36.8123208138282,127.146822493854
202103,1호선,청량리,768599,784775,37.5802331563072,127.045085886324
202103,1호선,평택,255238,251455,36.9918974768998,127.083288658126
202103,1호선,한남,91293,86000,37.5291881521046,127.008249820572
202103,1호선,화서,167079,161917,37.2848936747156,126.989199634131
202103,1호선,회룡,278927,277146,37.7244219058017,127.047218627472
202104,1호선,가능,144014,139452,37.7483685951812,127.044220735748
202104,1호선,가산디지털단지,409492,476068,37.4815957375443,126.882559483336
202104,1호선,간석,133693,127129,37.4646879052409,126.693451172704
202104,1호선,개봉,478648,490247,37.4945222528654,126.859102583368
202104,1호선,관악,162981,151852,37.4188017578979,126.909121118476
202104,1호선,광명,69124,61462,37.4163635638303,126.884877197434
202104,1호선,광운대,197116,189143,37.6230335564713,127.06176348127
202104,1호선,구로,422843,431954,37.5024345090279,126.881491595821
202104,1호선,구일,155092,159909,37.4963911827294,126.869920428658
202104,1호선,군포,171690,170818,37.354076121748,126.948484962089
202104,1호선,금정,584559,594612,37.3722878708479,126.943387264162
202104,1호선,금천구청,266228,266118,37.455609978438,126.894514076077
202104,1호선,남영,213046,222276,37.5405646005342,126.971332437837
202104,1호선,노량진,187065,190052,37.5135735646312,126.940826454376
202104,1호선,녹양,101960,97062,37.7593972381027,127.042273911226
202104,1호선,녹천,104947,88730,37.6456959058103,127.050919992127
202104,1호선,당정,139746,134305,37.3444543328447,126.948347418727
202104,1호선,대방,289904,296988,37.5128688879851,126.925248506022
202104,1호선,덕계,67915,61113,37.8187729615258,127.056653419502
202104,1호선,덕정,130955,126231,37.844283985167,127.061969695022
202104,1호선,도봉,133505,128873,37.6803629061562,127.045764016316
202104,1호선,도봉산,177482,114109,37.6891205614059,127.046528790935
202104,1호선,도원,73407,74506,37.468791983109,126.642404388038
202104,1호선,도화,94810,88129,37.4661106428252,126.668375888234
202104,1호선,독산,373600,395504,37.4659873169402,126.889514168718
202104,1호선,동대문,240947,228906,37.5717775660734,127.011167102297
202104,1호선,동두천,48993,57270,37.9278370541411,127.054940223638
202104,1호선,동두천중앙,69279,67201,37.9018057802045,127.056238895955
202104,1호선,동묘앞,183182,191739,37.5733722075697,127.01675118037
202104,1호선,동암,337692,339206,37.4710056673671,126.702935214739
202104,1호선,동인천,307494,290777,37.4759574845683,126.631750522383
202104,1호선,두정,120306,120980,36.8329346310528,127.149020699344
202104,1호선,망월사,168560,171750,37.725963479768,127.046509519875
202104,1호선,명학,204640,202787,37.3852171904558,126.935265701361
202104,1호선,방학,211006,206946,37.6663490420969,127.044424667701
202104,1호선,배방,21680,20528,36.7775631745193,127.052904723378
202104,1호선,백운,159967,159071,37.4832252226726,126.70727338322
202104,1호선,병점,309381,310510,37.2068017946815,127.033243427141
202104,1호선,보산,34120,30545,37.9143185033452,127.057237110508
202104,1호선,봉명,27371,26478,36.8012573235829,127.135835679685
202104,1호선,부개,190586,178618,37.4883181353962,126.740251327956
202104,1호선,부천,724853,729330,37.4840369248427,126.782649695027
202104,1호선,부평,652442,697229,37.4904472744166,126.723486369222
202104,1호선,서동탄,34314,29641,37.1959264123992,127.052133990784
202104,1호선,서빙고,41367,37721,37.5199555398566,126.990048630943
202104,1호선,서울,1016039,900941,37.549118478341,126.970484281315
202104,1호선,서울,1016039,900941,37.549118478341,126.970484281315
202104,1호선,서정리,148477,136912,37.0570033704623,127.053006355073
202104,1호선,석계,177965,202883,37.6150480846952,127.066118430844
202104,1호선,석수,222587,197870,37.4343424740399,126.902529209911
202104,1호선,성균관대,328203,323447,37.3001863040678,126.972261050259
202104,1호선,성환,84255,82412,36.9167500567322,127.126732155397
202104,1호선,세류,66199,62138,37.2442506519983,127.014111849323
202104,1호선,세마,59039,54778,37.1869917898194,127.043062518202
202104,1호선,소사,209734,200659,37.4824529147477,126.796018552602
202104,1호선,소요산,66443,55468,37.947953996357,127.061213156402
202104,1호선,송내,618112,619515,37.4876747409104,126.752771844443
202104,1호선,송탄,91435,84259,37.0752833781957,127.054299835138
202104,1호선,수원,739944,781498,37.2656768667795,127.000096053009
202104,1호선,시청,467273,470718,37.5654385176408,126.976983237511
202104,1호선,신길,212597,180672,37.5176677017212,126.914336937521
202104,1호선,신도림,93341,93405,37.5087701449787,126.891080501385
202104,1호선,신설동,307338,301764,37.5762451837487,127.023278761358
202104,1호선,신이문,188218,174042,37.604278644666,127.069577322142
202104,1호선,신창,35657,32864,36.7694848050308,126.949921514343
202104,1호선,쌍용,48171,44941,36.793655090373,127.121594290099
202104,1호선,아산,61045,57877,36.7920474174232,127.104115243093
202104,1호선,안양,548233,549618,37.4014349994721,126.92300270344
202104,1호선,양주,171513,159559,37.7736548042753,127.044790945301
202104,1호선,역곡,628654,623578,37.4852888314378,126.811871466794
202104,1호선,영등포,792781,819221,37.5156680341198,126.907665995469
202104,1호선,오류동,269766,252912,37.494359185399,126.844600701673
202104,1호선,오산,213784,211014,37.1458951784684,127.066844907861
202104,1호선,오산대,81271,75407,37.1693006160923,127.063064763281
202104,1호선,옥수,1246,750,37.5409877747326,127.018965435917
202104,1호선,온수,156177,151882,37.4921502838112,126.823380714316
202104,1호선,온양온천,75915,78018,36.7804682813951,127.003451110541
202104,1호선,왕십리,293491,328260,37.5612217415191,127.036655378283
202104,1호선,외대앞,154757,154977,37.5954136758127,127.063058800869
202104,1호선,용산,669589,681890,37.5297718014452,126.964741503485
202104,1호선,월계,149539,140617,37.6321089404669,127.058729394991
202104,1호선,응봉,42225,37278,37.5504482266748,127.034927944532
202104,1호선,의왕,201141,200335,37.3211117738404,126.948383028902
202104,1호선,의정부,389512,400734,37.7379901517646,127.045879450143
202104,1호선,이촌,85120,65220,37.522520254623,126.973683151228
202104,1호선,인천,77478,59381,37.4765938446837,126.617089760956
202104,1호선,제기동,380507,388497,37.5781967284885,127.034690599752
202104,1호선,제물포,243369,233426,37.466803102521,126.656869633392
202104,1호선,종각,752259,729797,37.5702140381269,126.983239678933
202104,1호선,종로3가,544857,497657,37.5704266025836,126.99202930223
202104,1호선,종로5가,489862,484299,37.5709075371016,127.001916647342
202104,1호선,주안,421863,382593,37.464767076602,126.679517004054
202104,1호선,중동,205323,194593,37.4866184306426,126.764292213307
202104,1호선,지제,64211,61335,37.0187847572567,127.070485287852
202104,1호선,지행,140480,139256,37.8918774567748,127.055664161171
202104,1호선,직산,16449,16441,36.8713897700414,127.143691456107
202104,1호선,진위,36311,31483,37.1099375555493,127.062366903315
202104,1호선,창동,9,0,37.6532174818989,127.047714954434
202104,1호선,천안,108542,109945,36.8123208138282,127.146822493854
202104,1호선,청량리,755746,774345,37.5802331563072,127.045085886324
202104,1호선,평택,256944,250261,36.9918974768998,127.083288658126
202104,1호선,한남,91643,86294,37.5291881521046,127.008249820572
202104,1호선,화서,167073,161909,37.2848936747156,126.989199634131
202104,1호선,회룡,275780,271327,37.7244219058017,127.047218627472
202105,1호선,가능,134389,129622,37.7483685951812,127.044220735748
202105,1호선,가산디지털단지,367412,428383,37.4815957375443,126.882559483336
202105,1호선,간석,122553,116354,37.4646879052409,126.693451172704
202105,1호선,개봉,441825,448534,37.4945222528654,126.859102583368
202105,1호선,관악,152288,142044,37.4188017578979,126.909121118476
202105,1호선,광명,65571,57688,37.4163635638303,126.884877197434
202105,1호선,광운대,179662,172740,37.6230335564713,127.06176348127
202105,1호선,구로,389451,396126,37.5024345090279,126.881491595821
202105,1호선,구일,134718,136546,37.4963911827294,126.869920428658
202105,1호선,군포,156615,155234,37.354076121748,126.948484962089
202105,1호선,금정,532244,538759,37.3722878708479,126.943387264162
202105,1호선,금천구청,245240,244691,37.455609978438,126.894514076077
202105,1호선,남영,192509,200850,37.5405646005342,126.971332437837
202105,1호선,노량진,172389,172876,37.5135735646312,126.940826454376
202105,1호선,녹양,94372,90258,37.7593972381027,127.042273911226
202105,1호선,녹천,95958,81019,37.6456959058103,127.050919992127
202105,1호선,당정,127668,122763,37.3444543328447,126.948347418727
202105,1호선,대방,260520,267586,37.5128688879851,126.925248506022
202105,1호선,덕계,62659,56796,37.8187729615258,127.056653419502
202105,1호선,덕정,118455,114702,37.844283985167,127.061969695022
202105,1호선,도봉,124109,119190,37.6803629061562,127.045764016316
202105,1호선,도봉산,165899,107179,37.6891205614059,127.046528790935
202105,1호선,도원,68619,69492,37.468791983109,126.642404388038
202105,1호선,도화,88837,82124,37.4661106428252,126.668375888234
202105,1호선,독산,340338,359153,37.4659873169402,126.889514168718
